CountryCode,Country,Less Developed Country,Sub-Saharan African Country,Fragile State,African Country
PAN,Panama,Not LDC,Not SSA,Not Fragile State,Not Africa
PER,Peru,Not LDC,Not SSA,Not Fragile State,Not Africa
PHL,Philippines,Not LDC,Not SSA,Not Fragile State,Not Africa
POL,Poland,Not LDC,Not SSA,Not Fragile State,Not Africa
QAT,Qatar,Not LDC,Not SSA,Not Fragile State,Not Africa
ROU,Romania,Not LDC,Not SSA,Not Fragile State,Not Africa
RUS,Russia,Not LDC,Not SSA,Not Fragile State,Not Africa
SAU,Saudi Arabia,Not LDC,Not SSA,Not Fragile State,Not Africa
SEN,Senegal,LDC,SSA,Not Fragile State,Africa
SRB,Serbia,Not LDC,Not SSA,Not Fragile State,Not Africa
SLE,Sierra Leone,LDC,SSA,Fragile State,Africa
SVK,Slovak Republic,Not LDC,Not SSA,Not Fragile State,Not Africa
SVN,Slovenia,Not LDC,Not SSA,Not Fragile State,Not Africa
SOM,Somalia,LDC,Not SSA,Fragile State,Africa
ZAF,South Africa,Not LDC,SSA,Not Fragile State,Africa
LKA,Sri Lanka,Not LDC,Not SSA,Not Fragile State,Not Africa
SHN,Saint Helena,Not LDC,Not SSA,Not Fragile State,Africa
,States Ex-Yugoslavia,Not LDC,Not SSA,Not Fragile State,Not Africa
SDN,Sudan,LDC,Not SSA,Fragile State,Africa
SYR,Syrian Arab Republic,Not LDC,Not SSA,Fragile State,Not Africa
TZA,Tanzania,LDC,SSA,Fragile State,Africa
THA,Thailand,Not LDC,Not SSA,Not Fragile State,Not Africa
TGO,Togo,LDC,SSA,Not Fragile State,Africa
TKL,Tokelau,Not LDC,Not SSA,Not Fragile State,Not Africa
TUN,Tunisia,Not LDC,Not SSA,Not Fragile State,Africa
TUR,Turkey,Not LDC,Not SSA,Not Fragile State,Not Africa
TCA,Turks and Caicos Islands,Not LDC,Not SSA,Not Fragile State,Not Africa
UKR,Ukraine,Not LDC,Not SSA,Not Fragile State,Not Africa
ARE,United Arab Emirates,Not LDC,Not SSA,Not Fragile State,Not Africa
URY,Uruguay,Not LDC,Not SSA,Not Fragile State,Not Africa
VEN,Venezuela,Not LDC,Not SSA,Fragile State,Not Africa
VNM,Viet Nam,Not LDC,Not SSA,Not Fragile State,Not Africa
VGB,British Virgin Islands,Not LDC,Not SSA,Not Fragile State,Not Africa
,Wallis and Futuna,Not LDC,Not SSA,Not Fragile State,Not Africa
YEM,Yemen,LDC,Not SSA,Fragile State,Not Africa
AFG,Afghanistan,LDC,Not SSA,Fragile State,Not Africa
AIA,Anguilla,Not LDC,Not SSA,Not Fragile State,Not Africa
ATG,Antigua and Barbuda,Not LDC,Not SSA,Not Fragile State,Not Africa
BHS,Bahamas,Not LDC,Not SSA,Not Fragile State,Not Africa
BRB,Barbados,Not LDC,Not SSA,Not Fragile State,Not Africa
BLZ,Belize,Not LDC,Not SSA,Not Fragile State,Not Africa
BTN,Bhutan,LDC,Not SSA,Not Fragile State,Not Africa
BOL,Bolivia,Not LDC,Not SSA,Not Fragile State,Not Africa
BWA,Botswana,Not LDC,SSA,Not Fragile State,Africa
BFA,Burkina Faso,LDC,SSA,Fragile State,Africa
BDI,Burundi,LDC,SSA,Fragile State,Africa
CPV,Cabo Verde,Not LDC,SSA,Not Fragile State,Africa
CAF,Central African Republic,LDC,SSA,Fragile State,Africa
TCD,Chad,LDC,SSA,Fragile State,Africa
COM,Comoros,LDC,SSA,Fragile State,Africa
COK,Cook Islands,Not LDC,Not SSA,Not Fragile State,Not Africa
CUB,Cuba,Not LDC,Not SSA,Not Fragile State,Not Africa
DMA,Dominica,Not LDC,Not SSA,Not Fragile State,Not Africa
DOM,Dominican Republic,Not LDC,Not SSA,Not Fragile State,Not Africa
ETH,Ethiopia,LDC,SSA,Fragile State,Africa
FJI,Fiji,Not LDC,Not SSA,Not Fragile State,Not Africa
MKD,Former Yugoslav Republic of Macedonia,Not LDC,Not SSA,Not Fragile State,Not Africa
GRD,Grenada,Not LDC,Not SSA,Not Fragile State,Not Africa
GNB,Guinea-Bissau,LDC,SSA,Fragile State,Africa
GUY,Guyana,Not LDC,Not SSA,Not Fragile State,Not Africa
HTI,Haiti,LDC,Not SSA,Fragile State,Not Africa
JAM,Jamaica,Not LDC,Not SSA,Not Fragile State,Not Africa
KIR,Kiribati,LDC,Not SSA,Not Fragile State,Not Africa
LAO,Lao People's Democratic Republic,LDC,Not SSA,Fragile State,Not Africa
LSO,Lesotho,LDC,SSA,Fragile State,Africa
MWI,Malawi,LDC,SSA,Fragile State,Africa
MDV,Maldives,Not LDC,Not SSA,Not Fragile State,Not Africa
MLI,Mali,LDC,SSA,Fragile State,Africa
MHL,Marshall Islands,Not LDC,Not SSA,Not Fragile State,Not Africa
MUS,Mauritius,Not LDC,SSA,Not Fragile State,Africa
FSM,Micronesia,Not LDC,Not SSA,Not Fragile State,Not Africa
MDA,Moldova,Not LDC,Not SSA,Not Fragile State,Not Africa
MNG,Mongolia,Not LDC,Not SSA,Not Fragile State,Not Africa
MSR,Montserrat,Not LDC,Not SSA,Not Fragile State,Not Africa
NRU,Nauru,Not LDC,Not SSA,Not Fragile State,Not Africa
NPL,Nepal,LDC,Not SSA,Not Fragile State,Not Africa
NER,Niger,LDC,SSA,Fragile State,Africa
NIU,Niue,Not LDC,Not SSA,Not Fragile State,Not Africa
PLW,Palau,Not LDC,Not SSA,Not Fragile State,Not Africa
PNG,Papua New Guinea,Not LDC,Not SSA,Fragile State,Not Africa
PRY,Paraguay,Not LDC,Not SSA,Not Fragile State,Not Africa
RWA,Rwanda,LDC,SSA,Fragile State,Africa
WSM,Samoa,Not LDC,Not SSA,Not Fragile State,Not Africa
STP,Sao Tome and Principe,LDC,SSA,Not Fragile State,Africa
SYC,Seychelles,Not LDC,SSA,Not Fragile State,Africa
SGP,Singapore,Not LDC,Not SSA,Not Fragile State,Not Africa
SLB,Solomon Islands,LDC,Not SSA,Fragile State,Not Africa
KNA,Saint Kitts and Nevis,Not LDC,Not SSA,Not Fragile State,Not Africa
LCA,Saint Lucia,Not LDC,Not SSA,Not Fragile State,Not Africa
VCT,Saint Vincent and the Grenadines,Not LDC,Not SSA,Not Fragile State,Not Africa
SUR,Suriname,Not LDC,Not SSA,Not Fragile State,Not Africa
SWZ,Swaziland,Not LDC,SSA,Fragile State,Africa
TLS,Timor-Leste,LDC,Not SSA,Fragile State,Not Africa
TON,Tonga,Not LDC,Not SSA,Not Fragile State,Not Africa
TTO,Trinidad and Tobago,Not LDC,Not SSA,Not Fragile State,Not Africa
TUV,Tuvalu,LDC,Not SSA,Not Fragile State,Not Africa
UGA,Uganda,LDC,SSA,Fragile State,Africa
VUT,Vanuatu,LDC,Not SSA,Not Fragile State,Not Africa
ZMB,Zambia,LDC,SSA,Fragile State,Africa
ZWE,Zimbabwe,Not LDC,SSA,Fragile State,Africa
ARM,Armenia,Not LDC,Not SSA,Not Fragile State,Not Africa
AZE,Azerbaijan,Not LDC,Not SSA,Not Fragile State,Not Africa
KAZ,Kazakhstan,Not LDC,Not SSA,Not Fragile State,Not Africa
KGZ,Kyrgyzstan,Not LDC,Not SSA,Not Fragile State,Not Africa
TJK,Tajikistan,Not LDC,Not SSA,Fragile State,Not Africa
TKM,Turkmenistan,Not LDC,Not SSA,Not Fragile State,Not Africa
UZB,Uzbekistan,Not LDC,Not SSA,Not Fragile State,Not Africa
RKS,Kosovo,Not LDC,Not SSA,Not Fragile State,Not Africa
SSD,South Sudan,LDC,SSA,Fragile State,Africa
AUS,Australia,Not LDC,Not SSA,Not Fragile State,Not Africa
NZL,New Zealand,Not LDC,Not SSA,Not Fragile State,Not Africa
CAN,Canada,Not LDC,Not SSA,Not Fragile State,Not Africa
FRA,France,Not LDC,Not SSA,Not Fragile State,Not Africa
DEU,Germany,Not LDC,Not SSA,Not Fragile State,Not Africa
ISL,Iceland,Not LDC,Not SSA,Not Fragile State,Not Africa
IRL,Ireland,Not LDC,Not SSA,Not Fragile State,Not Africa
JPN,Japan,Not LDC,Not SSA,Not Fragile State,Not Africa
FIN,Finland,Not LDC,Not SSA,Not Fragile State,Not Africa
